Current cluster is now: with-LZ4Compressor_uniform_dist_2016-01-14_13_21_24
Connected to cluster: with-LZ4Compressor_uniform_dist_2016-01-14_13_21_24, max pending requests per connection 128, max connections per host 8
Datatacenter: datacenter1; Host: /127.0.0.1; Rack: rack1
Created keyspaces. Sleeping 1s for propagation.
Sleeping 2s...
Warming up WRITE with 50000 iterations...
Running WRITE with 200 threads for 10000000 iteration
type       total ops,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr, errors,  gc: #,  max ms,  sum ms,  sdv ms,      mb
total,         19842,   19840,   19840,   19840,    12.1,     4.4,    44.0,   111.9,   421.2,   435.3,    1.0,  0.00000,      0,      0,       0,       0,       0,       0
total,         43332,   22562,   22562,   22562,     8.9,     3.1,    41.0,    87.2,   108.4,   120.0,    2.0,  0.04540,      0,      0,       0,       0,       0,       0
total,         69228,   24265,   24265,   24265,     8.3,     2.9,    35.5,    66.0,   100.3,   114.1,    3.1,  0.04735,      0,      0,       0,       0,       0,       0
total,         93264,   22818,   22818,   22818,     8.7,     3.4,    39.0,    69.7,   106.1,   112.2,    4.2,  0.03575,      0,      0,       0,       0,       0,       0
total,        117144,   21578,   21578,   21578,     8.8,     3.6,    37.7,    67.0,    85.8,   120.5,    5.3,  0.02950,      0,      0,       0,       0,       0,       0
total,        142321,   23748,   23748,   23748,     8.7,     3.1,    43.0,    71.3,    84.5,   102.3,    6.3,  0.02644,      0,      0,       0,       0,       0,       0
total,        170132,   25081,   25081,   25081,     8.1,     2.7,    35.5,    68.1,   101.5,   112.0,    7.4,  0.02694,      0,      0,       0,       0,       0,       0
total,        205585,   32592,   32592,   32592,     6.1,     1.9,    27.9,    56.4,    80.6,    92.8,    8.5,  0.05240,      0,      0,       0,       0,       0,       0
total,        237291,   30213,   30213,   30213,     6.6,     2.1,    28.5,    56.6,    71.9,    90.2,    9.6,  0.05225,      0,      0,       0,       0,       0,       0
total,        272190,   31624,   31624,   31624,     6.3,     2.0,    28.5,    61.7,   101.9,   158.0,   10.7,  0.05246,      0,      0,       0,       0,       0,       0
total,        305795,   31603,   31603,   31603,     6.3,     2.0,    29.6,    52.8,    78.3,    98.6,   11.7,  0.05100,      0,      0,       0,       0,       0,       0
total,        332522,   25134,   25134,   25134,     7.9,     3.7,    36.8,    58.9,    87.6,   101.7,   12.8,  0.04695,      0,      0,       0,       0,       0,       0
total,        361682,   26410,   26410,   26410,     7.5,     2.7,    32.2,    57.9,    96.1,   112.1,   13.9,  0.04330,      0,      0,       0,       0,       0,       0
total,        393003,   30578,   30578,   30578,     6.6,     1.9,    33.2,    52.5,    63.5,    75.8,   14.9,  0.04150,      0,      0,       0,       0,       0,       0
total,        431985,   38506,   38506,   38506,     5.2,     1.7,    23.9,    40.8,    59.1,    85.7,   15.9,  0.04748,      0,      0,       0,       0,       0,       0
total,        454916,   20751,   20751,   20751,     9.6,     3.1,    44.1,    86.1,   125.5,   130.3,   17.0,  0.04741,      0,      0,       0,       0,       0,       0
total,        477049,   21357,   21357,   21357,     9.4,     2.9,    47.5,    79.4,   160.2,   276.3,   18.1,  0.04517,      0,      0,       0,       0,       0,       0
total,        514040,   34122,   34122,   34122,     5.8,     1.8,    25.8,    46.0,    63.5,    82.8,   19.2,  0.04463,      0,      0,       0,       0,       0,       0
total,        550702,   35658,   35658,   35658,     5.6,     1.7,    24.6,    48.2,    74.8,    94.4,   20.2,  0.04462,      0,      0,       0,       0,       0,       0
total,        587244,   34474,   34474,   34474,     5.8,     1.4,    29.5,    55.4,    67.4,    75.9,   21.3,  0.04364,      0,      0,       0,       0,       0,       0
total,        614627,   25951,   25951,   25951,     7.7,     3.0,    32.6,    53.1,    74.4,    89.9,   22.3,  0.04180,      0,      0,       0,       0,       0,       0
total,        639106,   23568,   23568,   23568,     8.5,     3.0,    33.6,    70.8,   162.9,   203.9,   23.4,  0.04073,      0,      0,       0,       0,       0,       0
total,        660696,   20263,   20263,   20263,     9.8,     4.3,    41.4,    67.3,    87.6,   102.2,   24.4,  0.04101,      0,      0,       0,       0,       0,       0
total,        689273,   26572,   26572,   26572,     7.5,     2.1,    36.6,    65.2,    90.7,   108.8,   25.5,  0.03935,      0,      0,       0,       0,       0,       0
total,        723720,   33707,   33707,   33707,     5.9,     1.5,    22.6,   108.6,   147.0,   153.2,   26.5,  0.03856,      0,      0,       0,       0,       0,       0
total,        770439,   45042,   45042,   45042,     4.4,     1.2,    18.8,    30.3,   134.0,   175.2,   27.6,  0.04772,      0,      0,       0,       0,       0,       0
total,        800567,   29088,   29088,   29088,     6.9,     1.9,    32.0,    62.1,    74.0,    99.7,   28.6,  0.04592,      0,      0,       0,       0,       0,       0
total,        831454,   30042,   30042,   30042,     6.7,     2.1,    31.5,    56.0,    88.8,    95.2,   29.6,  0.04423,      0,      0,       0,       0,       0,       0
total,        856623,   24549,   24549,   24549,     7.4,     1.8,    32.0,    87.6,   127.1,   153.1,   30.6,  0.04316,      0,      0,       0,       0,       0,       0
total,        888221,   30210,   30210,   30210,     7.2,     2.2,    31.0,    60.5,   136.4,   173.9,   31.7,  0.04169,      0,      0,       0,       0,       0,       0
total,        927814,   37461,   37461,   37461,     5.3,     1.4,    25.8,    43.3,    53.4,    67.8,   32.7,  0.04118,      0,      0,       0,       0,       0,       0
total,        976268,   46448,   46448,   46448,     4.3,     1.2,    19.4,    33.4,    41.3,    77.6,   33.8,  0.04339,      0,      0,       0,       0,       0,       0
total,        996566,   20176,   20176,   20176,     9.9,     1.5,    26.6,   298.6,   317.8,   332.3,   34.8,  0.04348,      0,      0,       0,       0,       0,       0
total,       1026941,   27320,   27320,   27320,     7.3,     2.5,    30.7,    60.6,   108.8,   146.9,   35.9,  0.04230,      0,      0,       0,       0,       0,       0
total,       1066143,   38272,   38272,   38272,     5.2,     1.4,    22.4,    43.0,    70.3,   131.9,   36.9,  0.04171,      0,      0,       0,       0,       0,       0
total,       1100237,   32339,   32339,   32339,     6.2,     1.8,    28.3,    53.5,    67.4,    73.8,   38.0,  0.04054,      0,      0,       0,       0,       0,       0
total,       1137474,   35348,   35348,   35348,     5.6,     1.7,    24.2,    50.7,    82.0,    98.3,   39.0,  0.03961,      0,      0,       0,       0,       0,       0
total,       1177457,   37703,   37703,   37703,     5.3,     1.6,    24.5,    40.5,    57.7,    77.6,   40.1,  0.03897,      0,      0,       0,       0,       0,       0
total,       1223688,   43540,   43540,   43540,     4.6,     1.3,    21.7,    41.2,    61.1,    70.9,   41.2,  0.03931,      0,      0,       0,       0,       0,       0
total,       1262694,   37572,   37572,   37572,     5.3,     1.4,    25.8,    43.5,    79.5,    98.8,   42.2,  0.03859,      0,      0,       0,       0,       0,       0
total,       1302790,   39645,   39645,   39645,     5.0,     1.4,    23.8,    42.2,    55.2,    65.5,   43.2,  0.03811,      0,      0,       0,       0,       0,       0
total,       1331497,   26871,   26871,   26871,     7.4,     2.0,    35.0,    60.9,    99.2,   156.8,   44.3,  0.03741,      0,      0,       0,       0,       0,       0
total,       1371604,   39567,   39567,   39567,     5.1,     1.5,    23.4,    39.9,    49.0,    64.2,   45.3,  0.03694,      0,      0,       0,       0,       0,       0
total,       1400563,   28170,   28170,   28170,     7.1,     2.1,    35.8,    65.5,    88.1,   125.3,   46.3,  0.03621,      0,      0,       0,       0,       0,       0
total,       1436570,   34319,   34319,   34319,     5.8,     1.6,    26.8,    51.0,   112.1,   136.8,   47.4,  0.03562,      0,      0,       0,       0,       0,       0
total,       1478735,   38842,   38842,   38842,     5.1,     1.3,    22.5,    41.0,   121.4,   149.8,   48.5,  0.03552,      0,      0,       0,       0,       0,       0
total,       1517655,   42117,   42117,   42117,     4.7,     1.2,    24.3,    39.5,    53.3,    73.0,   49.4,  0.03532,      0,      0,       0,       0,       0,       0
total,       1555595,   30239,   30239,   30239,     6.5,     1.4,    24.6,    87.2,   249.7,   258.1,   50.6,  0.03467,      0,      0,       0,       0,       0,       0
total,       1596102,   40325,   40325,   40325,     5.0,     1.5,    20.9,    41.9,   128.6,   137.3,   51.6,  0.03484,      0,      0,       0,       0,       0,       0
total,       1629026,   10553,   10553,   10553,    18.9,     1.8,    27.6,    93.4,  2100.1,  2124.9,   54.8,  0.03414,      0,      0,       0,       0,       0,       0
total,       1674608,   45582,   45582,   45582,     4.4,     1.2,    22.0,    37.1,    49.7,    66.5,   55.8,  0.03426,      0,      0,       0,       0,       0,       0
total,       1705559,   21830,   21830,   21830,     9.1,     2.0,    34.3,    59.7,   406.0,   434.2,   57.2,  0.03365,      0,      0,       0,       0,       0,       0
total,       1733810,   26496,   26496,   26496,     7.5,     2.4,    36.7,    58.2,    99.6,   120.7,   58.2,  0.03327,      0,      0,       0,       0,       0,       0
total,       1760511,   23658,   23658,   23658,     8.4,     2.1,    43.1,   110.6,   123.1,   164.8,   59.4,  0.03314,      0,      0,       0,       0,       0,       0
total,       1801276,   39460,   39460,   39460,     5.1,     1.5,    22.0,    40.7,    63.7,   104.5,   60.4,  0.03270,      0,      0,       0,       0,       0,       0
total,       1845392,   42757,   42757,   42757,     4.7,     1.3,    22.5,    37.4,    50.1,    63.7,   61.4,  0.03250,      0,      0,       0,       0,       0,       0
total,       1889922,   43245,   43245,   43245,     4.6,     1.2,    21.5,    36.3,    64.8,    76.0,   62.5,  0.03232,      0,      0,       0,       0,       0,       0
total,       1920192,   29075,   29075,   29075,     6.8,     1.9,    35.2,    51.3,    67.8,    85.7,   63.5,  0.03185,      0,      0,       0,       0,       0,       0
total,       1954333,   32453,   32453,   32453,     6.1,     1.5,    25.7,    42.1,   182.5,   184.9,   64.6,  0.03131,      0,      0,       0,       0,       0,       0
total,       1993158,   38365,   38365,   38365,     5.3,     1.2,    19.9,    38.3,   193.6,   258.5,   65.6,  0.03086,      0,      0,       0,       0,       0,       0
total,       2029508,   34665,   34665,   34665,     5.7,     1.2,    20.8,    37.5,   286.7,   343.4,   66.6,  0.03100,      0,      0,       0,       0,       0,       0
total,       2070155,   39014,   39014,   39014,     5.1,     1.4,    21.6,    40.9,   133.4,   146.9,   67.7,  0.03083,      0,      0,       0,       0,       0,       0
total,       2102428,   34396,   34396,   34396,     5.8,     1.4,    27.7,    51.9,    89.5,    98.6,   68.6,  0.03033,      0,      0,       0,       0,       0,       0
total,       2134417,   27529,   27529,   27529,     7.1,     1.7,    29.3,   112.0,   159.6,   178.0,   69.8,  0.03002,      0,      0,       0,       0,       0,       0
total,       2172698,   37193,   37193,   37193,     5.5,     1.4,    21.5,    46.4,   156.9,   181.3,   70.8,  0.02982,      0,      0,       0,       0,       0,       0
total,       2205920,   31955,   31955,   31955,     6.2,     1.6,    27.0,    70.2,   138.6,   159.2,   71.8,  0.02936,      0,      0,       0,       0,       0,       0
total,       2243664,   36143,   36143,   36143,     5.5,     1.4,    29.7,    46.0,    63.5,    97.7,   72.9,  0.02892,      0,      0,       0,       0,       0,       0
total,       2275090,   29756,   29756,   29756,     6.7,     1.6,    25.5,    85.1,   196.9,   249.9,   73.9,  0.02849,      0,      0,       0,       0,       0,       0
total,       2311788,   36254,   36254,   36254,     5.5,     1.4,    25.2,    50.7,    78.4,   125.4,   74.9,  0.02807,      0,      0,       0,       0,       0,       0
total,       2341394,   27937,   27937,   27937,     7.2,     2.0,    33.0,    60.1,    94.5,   111.2,   76.0,  0.02781,      0,      0,       0,       0,       0,       0
total,       2375830,   33972,   33972,   33972,     5.7,     1.7,    25.3,    41.5,    65.3,    79.3,   77.0,  0.02741,      0,      0,       0,       0,       0,       0
total,       2408755,   32013,   32013,   32013,     6.3,     1.4,    26.6,    49.2,   195.6,   236.2,   78.0,  0.02707,      0,      0,       0,       0,       0,       0
total,       2443265,   33299,   33299,   33299,     6.0,     1.9,    26.8,    47.2,    63.4,    75.2,   79.1,  0.02670,      0,      0,       0,       0,       0,       0
total,       2479899,   36116,   36116,   36116,     5.5,     1.6,    25.3,    38.7,    52.1,    94.8,   80.1,  0.02633,      0,      0,       0,       0,       0,       0
total,       2510093,   29033,   29033,   29033,     6.9,     2.1,    33.5,    57.5,    84.6,   100.9,   81.1,  0.02607,      0,      0,       0,       0,       0,       0
total,       2544225,   32082,   32082,   32082,     6.2,     1.7,    29.5,    50.1,    84.9,   104.6,   82.2,  0.02574,      0,      0,       0,       0,       0,       0
total,       2581249,   35198,   35198,   35198,     5.7,     1.5,    27.8,    47.0,    71.7,    87.3,   83.3,  0.02540,      0,      0,       0,       0,       0,       0
total,       2631950,   49672,   49672,   49672,     4.0,     1.2,    18.7,    28.5,    40.3,    53.3,   84.3,  0.02573,      0,      0,       0,       0,       0,       0
total,       2662010,   28890,   28890,   28890,     6.9,     1.9,    23.5,    54.3,   217.9,   276.8,   85.3,  0.02540,      0,      0,       0,       0,       0,       0
total,       2696094,   33060,   33060,   33060,     6.1,     1.6,    25.8,    59.9,   134.6,   150.6,   86.3,  0.02509,      0,      0,       0,       0,       0,       0
total,       2731260,   34150,   34150,   34150,     5.8,     1.8,    25.1,    41.0,    56.6,    72.1,   87.4,  0.02478,      0,      0,       0,       0,       0,       0
total,       2767279,   33771,   33771,   33771,     5.9,     1.6,    27.5,    49.5,    78.9,   100.2,   88.4,  0.02447,      0,      0,       0,       0,       0,       0
total,       2794342,   25378,   25378,   25378,     7.8,     1.6,    20.8,    39.8,   463.4,   469.2,   89.5,  0.02434,      0,      0,       0,       0,       0,       0
total,       2836551,   41323,   41323,   41323,     4.9,     1.3,    20.5,    38.8,   138.4,   162.8,   90.5,  0.02437,      0,      0,       0,       0,       0,       0
total,       2881997,   44150,   44150,   44150,     4.5,     1.4,    19.5,    35.5,    60.2,    79.0,   91.6,  0.02427,      0,      0,       0,       0,       0,       0
total,       2919940,   36410,   36410,   36410,     5.5,     1.4,    24.3,    63.7,   106.4,   127.1,   92.6,  0.02399,      0,      0,       0,       0,       0,       0
total,       2954431,   32322,   32322,   32322,     6.2,     1.9,    30.0,    49.1,    73.4,    88.9,   93.7,  0.02373,      0,      0,       0,       0,       0,       0
total,       2990396,   35751,   35751,   35751,     5.6,     1.5,    22.8,    41.3,   135.7,   148.8,   94.7,  0.02352,      0,      0,       0,       0,       0,       0
total,       3025817,   30873,   30873,   30873,     6.4,     1.7,    30.1,    54.4,   146.5,   160.7,   95.8,  0.02325,      0,      0,       0,       0,       0,       0
total,       3055738,   28155,   28155,   28155,     7.1,     2.1,    31.8,    52.4,   144.3,   156.0,   96.9,  0.02302,      0,      0,       0,       0,       0,       0
total,       3091897,   34587,   34587,   34587,     5.8,     1.6,    27.4,    45.4,    66.3,    85.2,   97.9,  0.02276,      0,      0,       0,       0,       0,       0
total,       3127098,   34378,   34378,   34378,     5.7,     1.7,    26.4,    47.7,    62.9,    75.6,   99.0,  0.02251,      0,      0,       0,       0,       0,       0
total,       3147986,   20134,   20134,   20134,    10.0,     2.5,    53.2,   118.9,   141.4,   151.4,  100.0,  0.02278,      0,      0,       0,       0,       0,       0
total,       3185023,   35565,   35565,   35565,     5.6,     1.6,    26.3,    42.9,    63.3,   124.5,  101.0,  0.02254,      0,      0,       0,       0,       0,       0
total,       3221477,   34242,   34242,   34242,     5.8,     1.7,    27.4,    55.6,    94.9,   146.9,  102.1,  0.02230,      0,      0,       0,       0,       0,       0
total,       3265618,   42904,   42904,   42904,     4.7,     1.3,    22.3,    37.5,    51.3,    82.8,  103.1,  0.02218,      0,      0,       0,       0,       0,       0
total,       3311756,   39550,   39550,   39550,     5.0,     1.2,    24.6,    42.5,   130.3,   180.0,  104.3,  0.02208,      0,      0,       0,       0,       0,       0
total,       3320215,   49983,   49983,   49983,     4.0,     1.2,    17.5,    26.2,    31.3,    47.1,  104.5,  0.02227,      0,      0,       0,       0,       0,       0
total,       3351764,   12830,   12830,   12830,    15.4,     2.2,    26.2,    62.4,  1460.4,  1466.0,  106.9,  0.02209,      0,      0,       0,       0,       0,       0
total,       3383379,   30765,   30765,   30765,     6.6,     1.6,    28.1,    93.5,   161.0,   183.4,  107.9,  0.02191,      0,      0,       0,       0,       0,       0
total,       3424007,   39855,   39855,   39855,     5.0,     1.2,    21.2,    65.0,   108.6,   150.9,  109.0,  0.02172,      0,      0,       0,       0,       0,       0
total,       3471273,   40512,   40512,   40512,     4.9,     1.2,    20.8,    42.9,   157.0,   165.6,  110.1,  0.02171,      0,      0,       0,       0,       0,       0
total,       3513536,   41496,   41496,   41496,     4.8,     1.4,    23.1,    43.7,    63.0,    98.1,  111.2,  0.02155,      0,      0,       0,       0,       0,       0
total,       3540393,   26062,   26062,   26062,     7.6,     1.5,    25.8,   132.1,   231.9,   238.6,  112.2,  0.02152,      0,      0,       0,       0,       0,       0
total,       3570299,   29119,   29119,   29119,     6.9,     2.0,    28.8,    61.4,    83.7,   235.4,  113.2,  0.02139,      0,      0,       0,       0,       0,       0
total,       3605927,   34425,   34425,   34425,     5.8,     1.6,    25.5,    61.8,    78.3,   121.3,  114.2,  0.02118,      0,      0,       0,       0,       0,       0
total,       3644639,   36920,   36920,   36920,     5.4,     1.5,    24.4,    44.2,    60.9,    96.7,  115.3,  0.02098,      0,      0,       0,       0,       0,       0
total,       3675631,   33032,   33032,   33032,     6.1,     1.3,    27.7,    99.7,   126.1,   154.1,  116.2,  0.02080,      0,      0,       0,       0,       0,       0
total,       3723292,   37391,   37391,   37391,     5.3,     1.2,    20.9,    39.1,   268.7,   364.2,  117.5,  0.02079,      0,      0,       0,       0,       0,       0
total,       3754539,   30308,   30308,   30308,     6.7,     1.7,    34.2,    56.0,    77.6,    87.4,  118.5,  0.02065,      0,      0,       0,       0,       0,       0
total,       3792376,   32279,   32279,   32279,     6.2,     1.5,    26.3,    53.0,   129.3,   168.6,  119.7,  0.02046,      0,      0,       0,       0,       0,       0
total,       3828313,   34828,   34828,   34828,     5.7,     1.7,    24.0,    46.6,    55.2,    75.0,  120.7,  0.02027,      0,      0,       0,       0,       0,       0
total,       3866054,   35480,   35480,   35480,     5.6,     1.3,    30.1,    62.3,    88.4,   144.5,  121.8,  0.02009,      0,      0,       0,       0,       0,       0
total,       3904487,   37695,   37695,   37695,     5.3,     1.5,    25.2,    44.2,    56.5,    73.5,  122.8,  0.01992,      0,      0,       0,       0,       0,       0
total,       3937206,   36499,   36499,   36499,     5.4,     1.6,    26.8,    40.3,    53.9,    59.9,  123.7,  0.01974,      0,      0,       0,       0,       0,       0
total,       3968763,   21448,   21448,   21448,     9.3,     1.9,    34.2,    58.5,   472.4,   567.2,  125.2,  0.01961,      0,      0,       0,       0,       0,       0
total,       4013735,   42985,   42985,   42985,     4.7,     1.3,    22.7,    38.3,    61.2,    93.1,  126.2,  0.01952,      0,      0,       0,       0,       0,       0
total,       4054558,   38736,   38736,   38736,     5.2,     1.5,    25.0,    40.7,    58.7,    83.3,  127.3,  0.01937,      0,      0,       0,       0,       0,       0
total,       4083540,   27763,   27763,   27763,     7.2,     1.6,    25.2,    95.2,   247.3,   286.9,  128.3,  0.01920,      0,      0,       0,       0,       0,       0
total,       4123587,   37243,   37243,   37243,     5.3,     1.5,    24.4,    45.7,    67.5,   141.5,  129.4,  0.01904,      0,      0,       0,       0,       0,       0
total,       4167266,   41430,   41430,   41430,     4.8,     1.2,    21.7,    37.7,    59.6,    72.8,  130.5,  0.01893,      0,      0,       0,       0,       0,       0
total,       4198172,   30275,   30275,   30275,     6.6,     2.1,    31.3,    49.6,    72.6,    91.5,  131.5,  0.01882,      0,      0,       0,       0,       0,       0
total,       4233330,   33620,   33620,   33620,     5.9,     1.7,    26.8,    45.1,    68.3,    91.8,  132.5,  0.01867,      0,      0,       0,       0,       0,       0
total,       4271670,   36640,   36640,   36640,     5.4,     1.6,    25.2,    40.8,    53.7,    65.8,  133.6,  0.01852,      0,      0,       0,       0,       0,       0
total,       4307608,   37760,   37760,   37760,     5.3,     1.6,    23.6,    43.9,    69.2,    78.8,  134.5,  0.01837,      0,      0,       0,       0,       0,       0
total,       4344306,   28382,   28382,   28382,     7.0,     1.7,    26.0,    48.3,   288.6,   330.0,  135.8,  0.01822,      0,      0,       0,       0,       0,       0
total,       4380703,   36204,   36204,   36204,     5.5,     1.5,    25.4,    49.2,    62.8,    78.7,  136.8,  0.01807,      0,      0,       0,       0,       0,       0
total,       4411334,   29161,   29161,   29161,     6.8,     1.9,    31.0,    51.4,    77.0,    88.5,  137.9,  0.01799,      0,      0,       0,       0,       0,       0
total,       4447601,   34659,   34659,   34659,     5.7,     1.4,    27.8,    44.2,    54.8,    70.6,  138.9,  0.01785,      0,      0,       0,       0,       0,       0
total,       4491992,   42341,   42341,   42341,     4.7,     1.4,    20.7,    37.6,    57.9,    73.7,  140.0,  0.01777,      0,      0,       0,       0,       0,       0
total,       4532522,   38713,   38713,   38713,     5.1,     1.4,    24.0,    38.7,    49.4,    84.9,  141.0,  0.01765,      0,      0,       0,       0,       0,       0
total,       4570627,   36786,   36786,   36786,     5.4,     1.5,    27.4,    42.4,    58.9,    69.0,  142.1,  0.01751,      0,      0,       0,       0,       0,       0
total,       4599169,   27949,   27949,   27949,     7.1,     2.0,    34.8,    55.9,    78.1,   117.1,  143.1,  0.01746,      0,      0,       0,       0,       0,       0
total,       4631103,   30920,   30920,   30920,     6.5,     1.7,    32.4,    54.5,    78.9,    92.4,  144.1,  0.01736,      0,      0,       0,       0,       0,       0
total,       4665167,   32966,   32966,   32966,     6.1,     1.7,    30.6,    50.7,    71.4,    84.5,  145.1,  0.01724,      0,      0,       0,       0,       0,       0
total,       4707029,   41853,   41853,   41853,     4.8,     1.3,    23.0,    41.5,    55.3,    91.9,  146.1,  0.01716,      0,      0,       0,       0,       0,       0
total,       4747049,   35437,   35437,   35437,     5.6,     1.3,    25.2,    44.7,   133.0,   212.1,  147.3,  0.01705,      0,      0,       0,       0,       0,       0
