Current cluster is now: with-LZ4Compressor_no_dist_2016-01-14_13_27_04
Connected to cluster: with-LZ4Compressor_no_dist_2016-01-14_13_27_04, max pending requests per connection 128, max connections per host 8
Datatacenter: datacenter1; Host: /127.0.0.1; Rack: rack1
Created keyspaces. Sleeping 1s for propagation.
Sleeping 2s...
Warming up WRITE with 50000 iterations...
Running WRITE with 200 threads for 10000000 iteration
type       total ops,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr, errors,  gc: #,  max ms,  sum ms,  sdv ms,      mb
total,         21073,   21077,   21077,   21077,    11.4,     4.7,    51.1,    94.5,   186.4,   304.2,    1.0,  0.00000,      0,      0,       0,       0,       0,       0
total,         46721,   23148,   23148,   23148,     8.7,     3.4,    40.3,    71.6,   101.0,   118.4,    2.1,  0.03311,      0,      0,       0,       0,       0,       0
total,         68186,   19944,   19944,   19944,     9.9,     3.4,    51.0,    77.7,    90.4,   109.4,    3.2,  0.03581,      0,      0,       0,       0,       0,       0
total,         88914,   19126,   19126,   19126,    10.5,     4.6,    51.7,    85.4,   104.1,   115.2,    4.3,  0.03626,      0,      0,       0,       0,       0,       0
total,        116338,   26371,   26371,   26371,     7.6,     3.4,    32.1,    70.9,    97.1,   107.4,    5.3,  0.05297,      0,      0,       0,       0,       0,       0
total,        149220,   31058,   31058,   31058,     6.4,     2.0,    31.5,    52.4,    71.5,    88.0,    6.4,  0.07216,      0,      0,       0,       0,       0,       0
total,        184762,   33159,   33159,   33159,     5.9,     1.9,    25.7,    41.0,    66.1,    89.5,    7.4,  0.07798,      0,      0,       0,       0,       0,       0
total,        224074,   36741,   36741,   36741,     5.5,     1.6,    24.8,    48.4,    74.0,   159.0,    8.5,  0.08329,      0,      0,       0,       0,       0,       0
total,        252254,   27263,   27263,   27263,     7.4,     2.1,    33.9,    77.7,   116.9,   124.9,    9.5,  0.07384,      0,      0,       0,       0,       0,       0
total,        278153,   23425,   23425,   23425,     8.5,     3.0,    41.3,    67.3,    77.6,   123.0,   10.6,  0.06810,      0,      0,       0,       0,       0,       0
total,        316947,   35752,   35752,   35752,     5.6,     1.9,    24.2,    41.0,    53.0,    95.7,   11.7,  0.06739,      0,      0,       0,       0,       0,       0
total,        364121,   45080,   45080,   45080,     4.4,     1.5,    19.5,    33.2,    59.1,    92.2,   12.8,  0.07734,      0,      0,       0,       0,       0,       0
total,        403612,   37576,   37576,   37576,     5.3,     1.7,    24.4,    38.3,    53.6,    81.4,   13.8,  0.07337,      0,      0,       0,       0,       0,       0
total,        437457,   32729,   32729,   32729,     6.0,     1.9,    27.3,    45.0,    63.8,    78.0,   14.9,  0.06804,      0,      0,       0,       0,       0,       0
total,        469074,   30850,   30850,   30850,     6.5,     1.8,    30.5,    66.3,    89.1,   106.5,   15.9,  0.06338,      0,      0,       0,       0,       0,       0
total,        500318,   30606,   30606,   30606,     6.5,     2.1,    27.2,    48.4,    62.7,    95.8,   16.9,  0.05933,      0,      0,       0,       0,       0,       0
total,        531275,   28957,   28957,   28957,     6.9,     1.8,    31.2,    62.2,    79.3,   111.9,   18.0,  0.05592,      0,      0,       0,       0,       0,       0
total,        570869,   40173,   40173,   40173,     5.0,     1.4,    20.3,    41.5,   140.2,   161.1,   19.0,  0.05908,      0,      0,       0,       0,       0,       0
total,        611842,   36923,   36923,   36923,     5.4,     1.3,    24.5,    53.0,    84.0,   141.5,   20.1,  0.05637,      0,      0,       0,       0,       0,       0
