Current cluster is now: with-no_compressor_uniform_dist_2016-01-14_13_10_19
Connected to cluster: with-no_compressor_uniform_dist_2016-01-14_13_10_19, max pending requests per connection 128, max connections per host 8
Datatacenter: datacenter1; Host: /127.0.0.1; Rack: rack1
Created keyspaces. Sleeping 1s for propagation.
Sleeping 2s...
Warming up WRITE with 50000 iterations...
Running WRITE with 200 threads for 10000000 iteration
type       total ops,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr, errors,  gc: #,  max ms,  sum ms,  sdv ms,      mb
total,         21863,   21857,   21857,   21857,    11.4,     4.1,    42.3,    98.2,   354.7,   405.3,    1.0,  0.00000,      0,      0,       0,       0,       0,       0
total,         43587,   21181,   21181,   21181,     9.4,     3.4,    43.2,    77.3,   103.5,   197.7,    2.0,  0.01111,      0,      0,       0,       0,       0,       0
total,         70703,   25374,   25374,   25374,     7.9,     3.3,    30.3,    60.9,    79.9,    92.3,    3.1,  0.04654,      0,      0,       0,       0,       0,       0
total,        102176,   28041,   28041,   28041,     7.1,     2.4,    28.4,    75.1,   110.1,   120.5,    4.2,  0.05745,      0,      0,       0,       0,       0,       0
total,        131701,   28484,   28484,   28484,     6.9,     2.4,    29.2,    66.1,    87.7,   133.7,    5.3,  0.05428,      0,      0,       0,       0,       0,       0
total,        156526,   24192,   24192,   24192,     8.4,     2.8,    38.6,    90.0,   137.5,   182.6,    6.3,  0.04573,      0,      0,       0,       0,       0,       0
total,        185496,   26971,   26971,   26971,     7.3,     2.5,    35.6,    63.4,   102.7,   125.9,    7.4,  0.04029,      0,      0,       0,       0,       0,       0
total,        210228,   23329,   23329,   23329,     8.6,     2.9,    40.8,    71.3,   114.7,   136.5,    8.4,  0.03660,      0,      0,       0,       0,       0,       0
total,        242574,   31465,   31465,   31465,     6.3,     1.7,    25.8,    69.6,   147.4,   175.6,    9.4,  0.04137,      0,      0,       0,       0,       0,       0
total,        281079,   36094,   36094,   36094,     5.6,     1.6,    24.8,    50.6,   101.4,   132.4,   10.5,  0.05989,      0,      0,       0,       0,       0,       0
total,        319448,   36202,   36202,   36202,     5.5,     1.6,    22.8,    47.4,   128.5,   140.9,   11.6,  0.06662,      0,      0,       0,       0,       0,       0
total,        351310,   30615,   30615,   30615,     6.4,     2.1,    26.7,    55.0,   121.6,   165.5,   12.6,  0.06100,      0,      0,       0,       0,       0,       0
total,        376197,   23962,   23962,   23962,     8.4,     2.4,    39.3,    90.2,   143.7,   171.1,   13.6,  0.05822,      0,      0,       0,       0,       0,       0
total,        405974,   28227,   28227,   28227,     7.1,     2.2,    31.5,    57.3,    99.1,   125.8,   14.7,  0.05404,      0,      0,       0,       0,       0,       0
total,        445710,   38672,   38672,   38672,     5.2,     1.5,    23.0,    39.6,    63.9,    85.5,   15.7,  0.05457,      0,      0,       0,       0,       0,       0
total,        470063,   24034,   24034,   24034,     8.3,     1.9,    38.5,    94.5,   175.0,   183.2,   16.7,  0.05268,      0,      0,       0,       0,       0,       0
total,        505511,   30641,   30641,   30641,     6.5,     1.8,    26.3,    65.1,   136.8,   149.1,   17.9,  0.04955,      0,      0,       0,       0,       0,       0
total,        537349,   30906,   30906,   30906,     6.5,     1.9,    30.8,    51.0,    79.7,    83.5,   18.9,  0.04678,      0,      0,       0,       0,       0,       0
total,        574127,   34731,   34731,   34731,     5.7,     1.9,    25.2,    44.4,    54.0,   109.8,   20.0,  0.04508,      0,      0,       0,       0,       0,       0
total,        609370,   34269,   34269,   34269,     5.8,     1.9,    23.4,    39.8,    53.3,    65.5,   21.0,  0.04331,      0,      0,       0,       0,       0,       0
total,        642407,   31984,   31984,   31984,     6.2,     2.4,    24.8,    42.6,    58.6,    82.6,   22.0,  0.04128,      0,      0,       0,       0,       0,       0
total,        679674,   34825,   34825,   34825,     5.7,     1.5,    24.8,    47.6,    90.5,   163.6,   23.1,  0.04065,      0,      0,       0,       0,       0,       0
total,        714210,   33659,   33659,   33659,     5.9,     1.5,    21.7,   121.1,   141.8,   174.6,   24.1,  0.03905,      0,      0,       0,       0,       0,       0
total,        735652,   20910,   20910,   20910,     9.3,     1.9,    32.8,   143.7,   285.0,   483.3,   25.2,  0.03758,      0,      0,       0,       0,       0,       0
total,        757371,   19698,   19698,   19698,    10.3,     3.9,    39.9,   116.6,   141.9,   173.2,   26.3,  0.03901,      0,      0,       0,       0,       0,       0
total,        790525,   29678,   29678,   29678,     6.7,     1.6,    27.7,   103.5,   143.6,   174.8,   27.4,  0.03751,      0,      0,       0,       0,       0,       0
total,        831514,   38828,   38828,   38828,     5.1,     1.4,    23.7,    38.1,    53.7,    70.7,   28.4,  0.03745,      0,      0,       0,       0,       0,       0
total,        876961,   43212,   43212,   43212,     4.6,     1.3,    20.7,    34.2,    49.4,    66.6,   29.5,  0.03875,      0,      0,       0,       0,       0,       0
total,        912391,   33900,   33900,   33900,     5.9,     1.4,    21.7,    77.2,   186.1,   272.9,   30.5,  0.03869,      0,      0,       0,       0,       0,       0
total,        946613,   41994,   41994,   41994,     4.7,     1.5,    20.9,    37.7,    51.4,    67.0,   31.4,  0.03882,      0,      0,       0,       0,       0,       0
total,        977134,   19623,   19623,   19623,    10.1,     2.1,    37.2,    64.5,   532.7,   616.5,   32.9,  0.03772,      0,      0,       0,       0,       0,       0
total,       1012644,   34580,   34580,   34580,     5.8,     1.7,    24.8,    55.6,    74.0,    88.7,   33.9,  0.03658,      0,      0,       0,       0,       0,       0
