Current cluster is now: with-no_compressor_no_dist_2016-01-14_13_15_48
Connected to cluster: with-no_compressor_no_dist_2016-01-14_13_15_48, max pending requests per connection 128, max connections per host 8
Datatacenter: datacenter1; Host: /127.0.0.1; Rack: rack1
Created keyspaces. Sleeping 1s for propagation.
Sleeping 2s...
Warming up WRITE with 50000 iterations...
Running WRITE with 200 threads for 10000000 iteration
type       total ops,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr, errors,  gc: #,  max ms,  sum ms,  sdv ms,      mb
total,         19856,   19853,   19853,   19853,    10.7,     4.3,    55.0,    84.7,   129.7,   275.5,    1.0,  0.00000,      0,      0,       0,       0,       0,       0
total,         49156,   28547,   28547,   28547,     7.0,     2.7,    27.7,    61.2,    87.3,    96.7,    2.0,  0.12702,      0,      0,       0,       0,       0,       0
total,         79146,   26813,   26813,   26813,     7.1,     2.4,    31.5,    67.2,   165.9,   182.3,    3.1,  0.08652,      0,      0,       0,       0,       0,       0
total,        103840,   23154,   23154,   23154,     9.1,     3.2,    40.6,    80.7,   254.0,   368.0,    4.2,  0.06828,      0,      0,       0,       0,       0,       0
total,        131358,   25955,   25955,   25955,     7.7,     3.0,    36.7,    59.5,    81.1,    90.0,    5.3,  0.05490,      0,      0,       0,       0,       0,       0
total,        162487,   30302,   30302,   30302,     6.6,     2.0,    32.1,    53.2,    77.2,    88.0,    6.3,  0.05458,      0,      0,       0,       0,       0,       0
total,        196908,   31243,   31243,   31243,     6.4,     2.1,    29.2,    52.8,    72.4,    92.6,    7.4,  0.05296,      0,      0,       0,       0,       0,       0
total,        242684,   44240,   44240,   44240,     4.5,     1.2,    20.6,    37.5,    66.0,    77.4,    8.4,  0.08367,      0,      0,       0,       0,       0,       0
total,        292873,   47740,   47740,   47740,     4.1,     1.3,    18.1,    29.2,    49.1,    65.1,    9.5,  0.09459,      0,      0,       0,       0,       0,       0
total,        325434,   30561,   30561,   30561,     6.6,     1.9,    32.3,    54.0,    66.2,    81.6,   10.6,  0.08522,      0,      0,       0,       0,       0,       0
total,        369236,   41136,   41136,   41136,     4.8,     1.4,    23.3,    38.2,    60.0,    90.7,   11.6,  0.08027,      0,      0,       0,       0,       0,       0
